변수명,모름
age,
HE_Uacid,
BO2_1,9
BP_PHQ_5,9
HE_dbp3,
HE_DM,
DI6_ag,999
BD7_64,9
BA2_12,9
BH1,9
BP16_22,99
LQ4_07,9
HE_DM,
DI6_ag,999
BD7_64,9
BA2_12,9
BH1,9
BP16_22,99
LQ4_07,9
DJ2_dg,9
HE_Bplt,
BA2_2_1,9
BD7_5,9
BS12_31,9
O_chew_d,
HE_mens,
GS_mea_l_1,
LQ4_05,9
HE_Upro,
L_DN_WHO,9
ainc_1,999999
DH4_dg,9
L_BR_TO,9
HE_Ucot,
DC3_dg,9
LK_EDU,9
BE8_2,99
BS3_3,99
occp,
HE_glu,
LQ_4EQL,9
BS5_1,9
EC_pedu_2,99
T_Q_HR1,9
DF2_pr,9
DE1_pt,9
DE1_ag,999
HE_PLS,
BM2_1,9
N_VITC,
DH3_ag,999
DC4_dg,9
AC1_yr,9
MO4_11,9
MO4_12,9
HE_sbp1,
edu,
BM8,9
house,9
DH3_pt,9
BS12_2,9
DH4_ag,999
HE_HPfh1,9
HE_Uph,
N_MUFA,
DF2_ag,999
BP_PHQ_8,9
N_PROT,
N_NIAC,
live_t,9
LQ4_13,9
